Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2011-05-23,6586.65,6595.85,6534.1,6566.85,6862507,505.2
2011-05-24,6552.6,6587.55,6537.05,6557.6,9776464,611.17
2011-05-25,6538.05,6538.05,6402.8,6457.4,8715047,722.94
2011-05-26,6478.65,6488.85,6410.95,6450.45,14105627,863.14
2011-05-27,6444.95,6517.15,6444.95,6507.6,10866189,612.35
2011-05-30,6538.5,6540.5,6481.2,6515.9,11348040,666.18
2011-05-31,6533.45,6604.4,6525.1,6538.5,12697362,1171.99
2011-06-01,6544.8,6619.75,6544.8,6604.05,9903659,560.85
2011-06-02,6535.75,6593,6530,6573.2,11123893,529.86
2011-06-03,6574.6,6633.15,6555.5,6562.05,7160419,461.98
2011-06-06,6549.35,6624.6,6519.9,6610.45,6522983,380.22
2011-06-07,6592.25,6711.2,6592.25,6696.45,9169956,609.98
2011-06-08,6684.1,6701.85,6652.2,6672.6,8356213,532.05
2011-06-09,6670.95,6682.35,6642.05,6659.35,9406452,527.13
2011-06-10,6664.65,6689.75,6633.9,6653.45,7847155,630.84
2011-06-13,6631.25,6661.85,6592.9,6650.6,7297488,608.16
2011-06-14,6656.7,6682.25,6655.85,6671.35,6012093,538.32
2011-06-15,6650.3,6654.4,6581.95,6595.2,8838192,633.07
2011-06-16,6582.25,6582.25,6474,6480.75,7361001,562.69
2011-06-17,6481.7,6485.5,6336.85,6357.1,10156662,731.9
2011-06-20,6365.75,6367.5,6050,6166.45,64871485,1733.27
2011-06-21,6193.4,6274.75,6160.8,6237.15,44742996,1135.31
2011-06-22,6281.8,6297,6223.85,6240.2,30949659,828.89
2011-06-23,6228.4,6311.85,6199.3,6298.35,50423576,881.14
2011-06-24,6318.2,6520.1,6318.2,6499.1,34563572,1106.19
2011-06-27,6437.1,6585.95,6428.7,6530.8,18862784,846.78
2011-06-28,6543.3,6561.65,6465.4,6525.35,20313738,649.72
2011-06-29,6531.5,6596.55,6531.5,6570.6,24174036,725.02
2011-06-30,6579.05,6640.5,6558.95,6624.7,31237814,1283.83
2011-07-01,6681.75,6715.65,6648,6674.75,29616273,722.92
2011-07-04,6724.75,6746.65,6678.15,6685.85,17778051,578.65
2011-07-05,6711.95,6732.65,6660.35,6708.4,16088063,636.39
2011-07-06,6695.25,6748.2,6672.25,6704.1,14387020,504.93
2011-07-07,6705.75,6796.8,6696.95,6787.35,10771389,596.03
2011-07-08,6793,6835.25,6714,6723.85,11587450,631.28
2011-07-11,6689.3,6719.5,6574.9,6612.05,14222635,673.86
2011-07-12,6483.05,6483.05,6337.8,6415.45,16143355,1541.85
2011-07-13,6384.9,6454.8,6382.7,6408.55,12732082,877.48
2011-07-14,6383.35,6385.95,6314.6,6325.9,12201887,935.53
2011-07-15,6395.3,6420,6324,6346.05,12054567,843.47
2011-07-18,6351.1,6360.75,6286.5,6296.75,10692295,685.62
2011-07-19,6304.3,6388,6303.35,6365.95,13803046,641.8
2011-07-20,6409.25,6409.25,6306.75,6327.7,23333124,789.93
2011-07-21,6314.05,6368.55,6294.6,6335.9,14486023,585.26
2011-07-22,6366.3,6461.2,6361.9,6438.5,16014010,684.28
2011-07-25,6426.3,6451.75,6381.25,6434.45,15481385,800.24
2011-07-26,6433.65,6462.15,6379.1,6426.85,13868248,792.86
